"CDOM.x1"	"CDOM.x2"	"CDOM.mid"	"ASV.dist"
0.58	0.77	0.675	0.934137316809441
0.58	1	0.79	0.953455023808617
0.58	1.13	0.855	0.906468927448292
0.58	0.93	0.755	0.932580515246719
0.58	0.96	0.77	0.901483570472039
0.58	1.63	1.105	0.912638747980538
0.58	2.78	1.68	0.887504121756294
0.58	0.74	0.66	0.908240357434346
0.58	2.12	1.35	0.892019480439463
0.58	2.41	1.495	0.943789307717935
0.58	0.69	0.635	0.917579576540009
0.58	1.84	1.21	0.909705664515261
0.58	2.87	1.725	0.928253225498359
0.58	0.63	0.605	0.966884083489534
0.21	0.58	0.395	0.882346279637426
0.58	1.56	1.07	0.947118402534956
0.58	0.76	0.67	0.897865627417414
0.39	0.58	0.485	0.868719071225722
0.58	1.1	0.84	0.910138480734967
0.58	1.84	1.21	0.878106465476678
0.58	1.14	0.86	0.969552733939934
0.58	3.83	2.205	0.920827907270148
0.49	0.58	0.535	0.877776353790818
0.58	1.96	1.27	0.849507616106323
0.58	1.41	0.995	0.924567431427489
0.58	1.5	1.04	0.850569148991047
0.58	1.65	1.115	0.857130220054282
0.58	1.49	1.035	0.885213709067437
0.58	0.72	0.65	0.891196148830288
0.58	1.02	0.8	0.880905860853226
0.58	0.92	0.75	0.910549297364785
0.58	1.12	0.85	0.868968641695539
0.58	1.65	1.115	0.90601530391812
0.58	1.34	0.96	0.883078114179131
0.58	1.01	0.795	0.891986067764928
0.58	3.66	2.12	0.89096100748332
0.58	2.64	1.61	0.871848919275546
0.58	2.08	1.33	0.869056715783335
0.58	1.11	0.845	0.874703708787943
0.58	0.98	0.78	0.902188978419119
0.58	0.88	0.73	0.870519791246264
0.51	0.58	0.545	0.903195277939229
0.43	0.58	0.505	0.871757977877909
0.58	1.02	0.8	0.950718415910474
0.58	1.66	1.12	0.897437642159783
0.58	0.66	0.62	0.872944656846365
0.57	0.58	0.575	0.928068236051486
0.58	2.01	1.295	0.91552068186785
