"var.x1"	"var.x2"	"var.mid"
0.34	0.365	0.3525
0.34	0.39	0.365
0.34	0.415	0.3775
0.34	0.44	0.39
0.34	0.465	0.4025
0.34	0.49	0.415
0.34	0.515	0.4275
0.34	0.54	0.44
0.34	0.565	0.4525
0.34	0.59	0.465
0.34	0.615	0.4775
0.34	0.64	0.49
0.34	0.665	0.5025
0.34	0.69	0.515
0.34	0.715	0.5275
0.34	0.74	0.54
0.34	0.765	0.5525
0.34	0.79	0.565
0.34	0.815	0.5775
0.34	0.84	0.59
0.34	0.865	0.6025
0.34	0.89	0.615
0.34	0.915	0.6275
0.34	0.94	0.64
0.34	0.965	0.6525
0.34	0.99	0.665
0.34	1.015	0.6775
0.34	1.04	0.69
0.34	1.065	0.7025
0.34	1.09	0.715
0.34	1.115	0.7275
0.34	1.14	0.74
0.34	1.165	0.7525
0.34	1.19	0.765
0.34	1.215	0.7775
0.34	1.24	0.79
0.34	1.265	0.8025
0.34	1.29	0.815
0.34	1.315	0.8275
0.34	1.34	0.84
0.34	1.365	0.8525
0.34	1.39	0.865
0.34	1.415	0.8775
0.34	1.44	0.89
0.34	1.465	0.9025
0.34	1.49	0.915
0.34	1.515	0.9275
0.34	1.54	0.94
0.34	1.565	0.9525
0.34	1.59	0.965
0.34	1.615	0.9775
0.34	1.64	0.99
0.34	1.665	1.0025
0.34	1.69	1.015
0.34	1.715	1.0275
0.34	1.74	1.04
0.34	1.765	1.0525
0.34	1.79	1.065
0.34	1.815	1.0775
0.34	1.84	1.09
0.34	1.865	1.1025
0.34	1.89	1.115
0.34	1.915	1.1275
0.34	1.94	1.14
0.34	1.965	1.1525
0.34	1.99	1.165
0.34	2.015	1.1775
0.34	2.04	1.19
0.34	2.065	1.2025
0.34	2.09	1.215
0.34	2.115	1.2275
0.34	2.14	1.24
0.34	2.165	1.2525
0.34	2.19	1.265
0.34	2.215	1.2775
0.34	2.24	1.29
0.34	2.265	1.3025
0.34	2.29	1.315
0.34	2.315	1.3275
0.34	2.34	1.34
0.34	2.365	1.3525
0.34	2.39	1.365
0.34	2.415	1.3775
0.34	2.44	1.39
0.34	2.465	1.4025
0.34	2.49	1.415
0.34	2.515	1.4275
0.34	2.54	1.44
0.34	2.565	1.4525
0.34	2.59	1.465
0.34	2.615	1.4775
0.34	2.64	1.49
0.34	2.665	1.5025
0.34	2.69	1.515
0.34	2.715	1.5275
0.34	2.74	1.54
0.34	2.765	1.5525
0.34	2.79	1.565
0.34	2.815	1.5775
0.34	2.84	1.59
0.34	2.865	1.6025
0.34	2.89	1.615
0.34	2.915	1.6275
0.34	2.94	1.64
0.34	2.965	1.6525
0.34	2.99	1.665
0.34	3.015	1.6775
0.34	3.04	1.69
0.34	3.065	1.7025
0.34	3.09	1.715
0.34	3.115	1.7275
0.34	3.14	1.74
0.34	3.165	1.7525
0.34	3.19	1.765
0.34	3.215	1.7775
0.34	3.24	1.79
0.34	3.265	1.8025
0.34	3.29	1.815
0.34	3.315	1.8275
0.34	3.34	1.84
0.34	3.365	1.8525
0.34	3.39	1.865
0.34	3.415	1.8775
0.34	3.44	1.89
0.34	3.465	1.9025
0.34	3.49	1.915
0.34	3.515	1.9275
0.34	3.54	1.94
0.34	3.565	1.9525
0.34	3.59	1.965
0.34	3.615	1.9775
0.34	3.64	1.99
0.34	3.665	2.0025
0.34	3.69	2.015
0.34	3.715	2.0275
0.34	3.74	2.04
0.34	3.765	2.0525
0.34	3.79	2.065
0.34	3.815	2.0775
0.34	3.84	2.09
0.34	3.865	2.1025
0.34	3.89	2.115
0.34	3.915	2.1275
0.34	3.94	2.14
0.34	3.965	2.1525
0.34	3.99	2.165
0.34	4.015	2.1775
0.34	4.04	2.19
0.34	4.065	2.2025
0.34	4.09	2.215
0.34	4.115	2.2275
0.34	4.14	2.24
0.34	4.165	2.2525
0.34	4.19	2.265
0.34	4.215	2.2775
0.34	4.24	2.29
0.34	4.265	2.3025
0.34	4.29	2.315
0.34	4.315	2.3275
0.34	4.34	2.34
0.34	4.365	2.3525
0.34	4.39	2.365
0.34	4.415	2.3775
0.34	4.44	2.39
0.34	4.465	2.4025
0.34	4.49	2.415
0.34	4.515	2.4275
0.34	4.54	2.44
0.34	4.565	2.4525
0.34	4.59	2.465
0.34	4.615	2.4775
0.34	4.64	2.49
0.34	4.665	2.5025
0.34	4.69	2.515
0.34	4.715	2.5275
0.34	4.74	2.54
0.34	4.765	2.5525
0.34	4.79	2.565
0.34	4.815	2.5775
0.34	4.84	2.59
0.34	4.865	2.6025
0.34	4.89	2.615
0.34	4.915	2.6275
0.34	4.94	2.64
0.34	4.965	2.6525
0.34	4.99	2.665
0.34	5.015	2.6775
0.34	5.04	2.69
0.34	5.065	2.7025
0.34	5.09	2.715
0.34	5.115	2.7275
0.34	5.14	2.74
0.34	5.165	2.7525
0.34	5.19	2.765
0.34	5.215	2.7775
0.34	5.24	2.79
0.34	5.265	2.8025
0.34	5.29	2.815
0.34	5.315	2.8275
0.34	5.34	2.84
0.34	5.365	2.8525
0.34	5.39	2.865
0.34	5.415	2.8775
0.34	5.44	2.89
0.34	5.465	2.9025
0.34	5.49	2.915
0.34	5.515	2.9275
0.34	5.54	2.94
